Date,MMR,Change,Hero,Role
2018-04-29,1356,-24,Sand King,Roam (4)
2018-04-29,1376,20,Spirit Breaker,Roam (4)
2018-05-03,1403,27,Spirit Breaker,Roam (4)
2018-05-04,1387,-16,Witch Doctor,Support (5)
2018-05-04,1360,-27,Sand King,Roam (4)
2018-05-04,1385,25,Jakiro,Support (5)
